"","HOUSEID","TRAVDAY","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","DRVRCNT","HHSTATE","HHSTFIPS","NUMADLT","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","HBHTNRNT","HBPPOPDN","HBRESDN","HTEEMPDN","HTHTNRNT","HTPPOPDN","HTRESDN","SMPLSRCE","PERSONID","R_AGE","EDUC","R_HISP","R_RELAT","R_SEX","R_RACE","PRMACT","PAYPROF","GT1JBLWK","WRK_HOME","WKFTPT","WRKTRANS","LSTTRDAY17","OCCAT","SCHTYP","NWALKTRP","WALK4EX","NBIKETRP","BIKE4EX","BIKESHARE","PTUSED","MCUSED","CARSHARE","RIDESHARE","CARRODE","TIMETOWK","NOCONG","PUBTIME","WRKTIME","WKRMHM","FLEXTIME","WKFMHMXX","SCHTRN1","SCHTRN2","DELIVER","MEDCOND","MEDCOND6","HEALTH","PHYACT","VPACT","LPACT","BORNINUS","YRTOUS","YEARMILE","PROXY","WHOPROXY","USEPUBTR","SAMEPLC","W_NONE","W_CANE","W_WLKR","W_WHCANE","W_DOG","W_CRUTCH","W_SCOOTR","W_CHAIR","W_MTRCHR","WORKER","DIARY","OUTCNTRY","FRSTHM17","CNTTDTR","GCDWORK","WKSTFIPS","DRIVER","OUTOFTWN","DISTTOWK17","DISTTOSC17","ALT_16","ALT_23","ALT_45","WALK_DEF","WALK_GKQ","BIKE_DFR","BIKE_GKP","CONDTRAV","CONDRIDE","CONDNIGH","CONDRIVE","CONDPUB","CONDSPEC","CONDTAX","WTPERFIN","SAMPSTRAT","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","CNTTDHH","YOUNGCHILD","SCRESP","RESP_CNT","WEBUSE17","WTHHFIN","NCHILD0TO5","NCHILD6TO17","UNIQUEID","NTOUR","HBSimple","HBOnly","HBandWB","MODEALLTRANSIT","MODEMIXED","MODENOTRANSIT","WORKACTDUR","WORKTRAVELDUR","WORKACTTRAVELDUR","TRANSITACTDUR","TRANSITTRAVELDUR","TRANSITACTTRAVELDUR","NONTRANSITACTDUR","NONTRANSITTRAVELDUR","NONTRANSITACTTRAVELDUR","NONWORKACTDUR","MALE","HISPANIC","MULTIJOB","FULLTIME","FLEXIBLE","LOWINCOME","MIDINCOME","HIGHINCOME","MSA1MILWITHRAIL","MSA1MILWITHOUTRAIL","MSALESS1MIL","NOTMSA","PCHILD0TO5","PCHILD6TO17","NONWORKTRAVELDUR","NONWORKACTTRAVELDUR","OTHER"
"1",30000130,1,1,2,1,5,2,"NY",36,2,2,201605,1,2,1,5,1,1,5,1,2,1,21,1,2,"35620",80,30000,17000,5000,60,30000,17000,1,1,45,5,2,1,2,1,1,-1,2,2,1,11,-1,2,-1,5,5,0,-1,-1,20,-1,0,0,-9,60,-1,10,"09:00 AM",2,2,-1,-1,-1,0,2,-1,3,2,-1,5,2,1995,-88,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,4,9.64999999999964,36,1,2,14.5999999999999,-9,3,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3705.49390444234,1,-9,1,-9,-9,-9,-1,-9,1,1,-9,1,1,1,-9,1,1,4,0,1,2,1,3829.95965521322,0,0,"30000130_1",1,1,0,0,0,0,0,465,60,525,0,0,0,16,55,71,16,0,0,0,1,0,0,1,0,1,0,0,0,0,0,55,71,0
"2",30000341,5,1,3,2,6,3,"TX",48,3,3,201604,1,2,2,4,2,1,4,1,7,3,72,1,2,"12420",20,7000,3000,3000,20,7000,1500,2,2,28,5,2,3,1,1,1,-1,2,2,1,11,-1,4,-1,13,3,0,-1,-1,21,-1,0,0,-9,35,-1,0,"08:15 AM",2,1,-1,-1,-1,10,2,-1,2,2,-1,8,1,-1,400,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,5,1.78999999999996,48,1,2,2.57999999999993,-9,1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,407.415399981904,2,1,1,1,5,5,1,5,3,5,5,2,2,5,5,3,1,14,0,1,3,1,316.179006139523,0,0,"30000341_2",1,0,0,1,1,0,0,490,35,525,30,15,45,115,5,120,145,1,0,0,1,1,0,1,0,0,1,0,0,0,0,20,165,0
"3",30000450,6,2,1,0,5,0,"CA",6,1,1,201608,1,1,1,5,1,1,5,1,9,4,91,2,2,"41860",40,17000,7000,5000,60,17000,7000,1,1,39,3,2,1,2,2,2,1,2,2,1,11,-1,1,-1,2,1,0,-1,-1,20,-1,0,0,-9,2,-1,2,"07:00 AM",2,2,-1,-1,-1,0,2,-1,2,2,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,3,17.0699999999997,6,2,2,26.1199999999999,-9,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1098.246124231,1,1,1,1,1,-9,-1,-9,1,1,-9,5,5,5,5,5,2,3,0,1,1,1,1041.82176393642,0,0,"30000450_1",1,0,1,0,1,0,0,250,2,252,60,60,120,0,0,0,60,0,0,0,1,0,0,1,0,1,0,0,0,0,0,60,120,0
"4",30001409,3,1,2,2,11,2,"IL",17,2,2,201605,1,2,1,5,1,1,5,1,3,2,31,1,2,"16980",0,3000,1500,3000,0,7000,1500,1,1,60,5,2,1,2,1,1,-1,2,2,1,15,-1,4,-1,20,5,0,-1,-1,22,-1,0,0,-9,90,-1,10,"07:00 AM",1,1,5,-1,-1,3,2,-1,3,2,-1,2,1,-1,6000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,25.6199999999999,17,1,2,31.3599999999997,-9,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3315.86280079639,1,2,1,1,2,5,1,4,5,1,5,3,4,4,4,2,1,7,0,1,2,1,3278.22091095503,0,0,"30001409_1",1,1,0,0,1,0,0,570,90,660,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"5",30001774,3,1,1,0,5,0,"GA",13,1,1,201606,1,1,1,5,1,1,5,1,5,3,51,1,2,"12060",80,17000,17000,5000,60,17000,17000,1,1,43,5,2,1,2,1,1,-1,2,2,1,16,-1,4,-1,21,7,0,-1,-1,20,-1,0,2,-9,15,-1,30,"07:30 AM",2,2,-1,-1,-1,2,2,-1,2,2,-1,7,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,1.29999999999995,13,2,2,1.75999999999999,-9,4,4,4,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,894.656742983446,1,1,1,1,1,2,3,3,4,1,5,5,3,1,1,1,2,2,0,1,1,1,805.331565883393,0,0,"30001774_1",1,1,0,0,1,0,0,660,15,675,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"7",30002934,5,2,1,0,6,1,"CA",6,1,1,201609,1,1,1,5,1,1,5,1,9,4,91,1,2,"41860",90,17000,17000,5000,90,30000,17000,2,1,58,5,2,1,2,1,1,-1,2,2,2,13,-1,4,-1,21,2,25,0,0,15,-1,0,0,-9,35,-1,-9,"08:25 AM",1,1,0,-1,-1,10,2,-1,2,3,6,-1,1,-1,250,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,8,6.34999999999991,6,1,2,7.87999999999988,-9,4,4,4,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,440.487404428501,1,1,1,4,1,1,5,4,3,1,5,3,3,4,4,4,2,8,0,1,1,1,473.114844732099,0,0,"30002934_1",2,0,0,1,1,0,0,520,35,555,0,0,0,15,5,20,15,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,20,1
"8",30003131,4,2,1,0,4,0,"CA",6,1,1,201608,1,1,1,5,1,1,5,1,9,4,91,-7,2,"41860",60,30000,17000,5000,80,30000,17000,1,1,66,2,2,1,1,-7,1,-1,2,2,1,15,-1,1,-1,7,7,0,-1,-1,30,-1,0,0,-9,90,-1,20,"09:15 AM",2,2,-1,-1,-1,0,2,-1,-8,2,-1,-8,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,5.43999999999983,6,2,2,7.73999999999978,-9,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,498.614118449787,1,5,5,5,1,5,5,5,1,1,-9,3,1,4,1,1,2,2,0,1,1,5,576.877959538567,0,0,"30003131_1",1,1,0,0,1,0,0,518,90,608,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"9",30003393,6,2,3,0,3,0,"NY",36,3,2,201606,1,2,3,1,2,1,1,1,2,1,23,1,2,"XXXXX",70,7000,3000,3000,70,7000,3000,2,1,28,3,2,1,2,1,1,-1,2,2,2,11,-1,1,-1,14,0,0,-1,-1,20,-1,0,0,-9,30,-1,15,"08:15 AM",2,2,-1,-1,-1,1,2,-1,2,3,5,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,0.719999999999999,36,2,2,1.19,-9,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1057.08046287613,3,1,1,1,1,4,5,3,2,5,5,1,1,3,3,3,1,4,0,1,3,1,1097.73104061796,0,0,"30003393_1",1,1,0,0,1,0,0,345,30,375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"10",30003624,6,2,2,1,6,2,"NY",36,2,2,201606,1,2,3,1,2,1,1,1,2,1,23,3,2,"XXXXX",70,3000,1500,750,60,1500,750,2,1,28,5,2,1,2,3,1,-1,2,2,1,11,-1,4,-1,30,0,0,-1,-1,20,-1,0,0,-9,15,-1,0,"10:00 AM",1,1,1,-1,-1,3,2,-1,2,2,-1,12,2,2005,4000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,6,2.13999999999999,36,1,2,2.52999999999997,-9,3,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206.992499893229,3,1,1,2,3,5,2,4,1,4,5,3,2,4,4,2,1,11,0,1,2,1,214.95250388951,0,0,"30003624_1",2,0,0,1,1,0,0,457,15,472,0,0,0,30,5,35,30,0,0,0,1,1,0,1,0,0,0,1,0,0,0,5,35,1
"11",30003624,6,2,2,1,6,2,"NY",36,2,2,201606,1,2,3,1,2,1,1,1,2,1,23,3,2,"XXXXX",70,3000,1500,750,60,1500,750,2,2,30,5,2,2,1,3,1,-1,1,2,1,11,-1,4,-1,20,3,0,-1,-1,6,-1,0,0,-9,27,-1,0,"06:55 AM",1,1,0,-1,-1,7,2,-1,1,2,-1,3,2,2004,6000,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,5,2.14999999999998,36,1,2,2.92999999999995,-9,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260.817136314163,3,1,1,2,3,5,2,4,1,4,5,3,2,4,4,2,1,11,0,1,2,1,214.95250388951,0,0,"30003624_2",1,0,0,1,1,0,0,645,27,672,0,0,0,37,23,60,37,1,0,1,1,1,0,1,0,0,0,1,0,0,0,23,60,0
"12",30004211,3,1,2,1,7,2,"MA",25,2,2,201608,1,2,1,5,1,1,5,1,1,1,11,1,2,"14460",5,17000,7000,3000,20,7000,3000,1,1,66,3,2,1,1,1,1,-1,2,2,1,16,-1,1,-1,32,0,0,-1,-1,58,-1,4,0,-9,70,-1,15,"07:45 AM",1,1,0,-1,-1,2,2,-1,2,3,8,-1,1,-1,250,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,4,4.72999999999979,25,1,2,6.48999999999978,-9,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2444.38495594385,1,1,1,5,1,5,3,5,1,1,5,5,3,1,3,1,1,10,0,1,2,1,3106.76670521341,0,0,"30004211_1",1,0,0,1,1,0,0,546,70,616,0,0,0,13,25,38,13,1,0,0,1,1,0,1,0,1,0,0,0,0,0,25,38,0
"13",30004492,2,2,1,1,6,1,"CA",6,1,1,201608,1,1,2,4,2,1,4,1,9,4,92,2,2,"40900",30,17000,7000,3000,40,7000,3000,2,1,64,3,2,1,2,2,1,-1,2,2,1,11,-1,2,-1,7,7,0,-1,-1,22,-1,0,0,-9,30,-1,0,"07:15 AM",2,1,-1,-1,-1,0,2,-1,1,2,-1,7,1,-1,-88,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,4,3.18999999999994,6,1,2,4.01999999999998,-9,1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,149.50689025894,2,1,4,5,1,5,3,5,1,5,5,5,4,1,4,1,2,4,0,1,1,1,166.292091551802,0,0,"30004492_1",2,1,0,0,1,0,0,450,30,480,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
"14",30004597,4,1,2,2,10,2,"CA",6,2,2,201609,1,2,1,4,1,1,5,1,9,4,91,1,2,"41940",40,3000,1500,3000,30,7000,1500,2,1,35,5,2,1,1,1,1,-1,2,2,1,15,-1,4,-1,7,7,0,-1,-1,20,-1,0,5,-9,100,-1,20,"07:00 AM",1,1,4,-1,-1,5,2,-1,1,2,-1,2,2,2004,14000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,6,38.4299999999985,6,1,2,46.3299999999999,-9,2,3,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,289.290322561338,2,1,1,2,1,5,1,3,5,1,5,4,2,4,5,2,1,10,0,1,2,1,273.493967288933,0,0,"30004597_1",2,0,0,1,1,0,0,455,100,555,0,0,0,45,15,60,45,1,0,0,1,1,0,0,1,1,0,0,0,0,0,15,60,1
"15",30006156,2,1,5,1,8,2,"PA",42,2,2,201607,1,4,1,5,1,1,5,1,2,1,21,2,2,"37980",40,30000,17000,5000,30,30000,17000,1,1,40,3,2,1,2,2,1,-1,2,2,1,16,-1,2,-1,5,0,0,-1,-1,15,-1,0,0,-9,55,-1,5,"09:00 AM",2,2,-1,-1,-1,1,1,2,2,1,-1,-1,1,-1,500,1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,7.39999999999986,42,1,2,11.3699999999999,-9,3,4,4,-1,-1,-1,-1,1,2,2,2,1,2,2,11048.8063193469,1,2,1,3,5,5,1,4,2,2,5,5,3,4,5,3,1,10,1,1,5,1,10222.4924809741,1,1,"30006156_1",1,1,0,0,0,1,0,525,55,580,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
"16",30006202,4,1,3,2,8,2,"VA",51,2,2,201606,1,4,1,5,1,1,5,1,5,3,51,1,2,"47900",20,7000,1500,3000,20,7000,1500,1,2,41,5,2,2,1,1,1,-1,2,2,1,15,-1,4,-1,12,1,0,-1,-1,15,-1,0,0,-9,65,-1,4,"07:05 AM",2,1,-1,-1,-1,5,2,-1,2,2,-1,2,1,-1,10000,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,6,14.4799999999996,11,1,2,18.7799999999997,-9,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12646.5184677031,1,2,1,3,-9,-9,1,4,-9,4,-9,4,4,5,5,3,1,9,1,1,3,1,9028.22736036171,0,0,"30006202_2",1,0,0,1,1,0,0,493,65,558,0,0,0,14,3,17,14,1,0,0,1,1,0,0,1,1,0,0,0,0,0,3,17,0
"17",30006273,3,1,4,2,7,2,"NY",36,4,2,201607,1,10,1,5,1,1,5,1,2,1,21,3,2,"35620",30,17000,7000,5000,30,17000,7000,1,2,33,3,2,2,2,3,1,-1,2,2,1,11,-1,1,-1,10,3,0,-1,-1,0,-1,0,0,-9,90,-1,60,"10:00 AM",2,2,-1,-1,-1,0,2,-1,1,2,-1,3,2,2016,-1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,9.50999999999976,36,2,2,12.6099999999997,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3545.23980623105,1,1,1,1,3,5,1,5,3,3,5,4,2,2,3,2,1,4,0,1,4,1,3555.18577472908,0,0,"30006273_2",1,1,0,0,1,0,0,540,90,630,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"18",30006777,7,2,1,0,1,0,"NY",36,1,1,201607,1,1,3,1,2,1,1,1,2,1,23,1,2,"XXXXX",50,7000,3000,1500,50,7000,3000,2,1,62,3,2,1,1,1,1,-1,2,2,2,11,-1,1,-1,3,0,0,-1,-1,27,-1,0,0,-9,45,-1,10,"02:45 PM",2,1,-1,-1,-1,0,2,-1,3,2,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,3,4.07999999999993,36,2,2,5.05999999999995,-9,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101.245433320974,3,1,5,5,1,4,5,4,1,4,4,5,3,1,5,1,2,3,0,1,1,1,121.691919002487,0,0,"30006777_1",1,0,1,0,0,1,0,345,45,390,15,75,90,0,0,0,15,1,0,0,0,1,1,0,0,0,0,1,0,0,0,75,90,0
"19",30006997,4,1,1,3,8,1,"TX",48,1,1,201609,1,1,2,5,2,1,4,1,7,3,72,2,2,"26420",30,7000,3000,5000,20,7000,3000,2,1,36,4,2,1,1,2,1,-1,2,2,1,11,-1,4,-1,10,5,0,-1,-1,20,10,0,0,-9,35,-1,30,"06:00 AM",2,2,-1,-1,-1,3,2,-1,2,3,5,-1,1,-1,12000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,4,14.9099999999999,48,1,2,18.1299999999992,-9,2,3,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,190.94345299859,2,1,1,1,1,5,1,2,2,3,5,1,2,5,5,1,2,4,0,1,1,1,153.715176610601,0,0,"30006997_1",2,1,0,0,1,0,0,582,35,617,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"20",30007689,2,2,2,2,6,2,"GA",13,2,1,201608,1,2,1,5,1,1,5,1,3,2,31,1,2,"12060",50,7000,3000,3000,50,7000,3000,2,1,25,4,2,1,2,1,1,-1,2,2,1,16,-1,3,-1,5,2,0,-1,-1,20,-1,0,0,-9,30,-1,5,"07:45 AM",2,1,-1,-1,-1,1,2,-1,2,2,-1,2,1,-1,15000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,6.73999999999978,13,1,2,8.69999999999982,-9,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,107.818420131069,3,1,1,4,-9,-9,1,-9,-9,-9,-9,4,4,5,5,5,1,2,0,1,2,1,120.546268142911,0,0,"30007689_1",1,1,0,0,1,0,0,525,30,555,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"21",30008157,4,1,3,1,6,2,"NY",36,2,1,201610,1,4,1,5,1,1,5,1,2,1,21,3,2,"35620",80,17000,7000,5000,80,30000,17000,2,1,43,5,2,1,2,3,1,-1,1,2,1,16,-1,4,-1,7,0,0,-1,-1,5,-1,0,0,-9,75,-1,10,"09:10 AM",1,1,4,-1,-1,0,2,-1,2,2,-1,3,1,-1,-88,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,9.08999999999969,36,1,2,19.7699999999995,-9,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1271.75354091575,1,1,1,3,1,5,1,4,3,1,5,2,3,2,4,1,1,6,1,1,3,1,998.889252044934,0,0,"30008157_1",1,1,0,0,1,0,0,470,75,545,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"22",30009395,1,2,1,1,-7,1,"CA",6,1,1,201609,1,1,1,5,1,1,5,1,9,4,91,1,2,"41860",90,30000,30000,5000,80,30000,30000,2,1,62,1,2,1,1,1,1,-1,2,2,1,11,-1,1,-1,5,5,0,-1,-1,24,-1,0,0,-9,10,-1,0,"11:00 AM",2,2,-1,-1,-1,0,2,-1,3,2,-1,6,2,1989,1200,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,0.649999999999977,6,1,2,0.699999999999989,-9,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,758.082539396337,1,5,5,5,2,5,1,4,1,5,5,5,5,5,5,1,2,2,0,1,1,5,713.032273136925,0,0,"30009395_1",1,1,0,0,1,0,0,360,10,370,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,0,0,0,0,0
"23",30010082,3,2,2,0,3,1,"NY",36,1,1,201608,1,5,1,5,1,1,5,1,2,1,21,-7,1,"35620",50,30000,30000,5000,80,30000,30000,2,1,51,3,1,1,2,-7,2,1,2,2,2,16,-1,1,-1,21,21,0,-1,-1,20,-1,1,5,-9,20,-1,5,"09:00 AM",2,2,-1,-1,-1,4,2,-1,2,2,-1,4,2,1984,-88,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,3,8.83999999999969,36,1,2,13.02,-9,4,4,4,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4808.18143102154,1,1,1,2,1,5,4,4,3,2,4,2,2,1,5,1,1,5,0,1,2,1,3856.83980520555,0,1,"30010082_1",1,0,1,0,1,0,0,552,20,572,17,65,82,0,0,0,17,0,1,0,0,0,1,0,0,1,0,0,0,0,1,65,82,0
"24",30010234,4,2,1,1,5,1,"DC",11,1,1,201610,1,1,1,5,1,1,5,1,5,3,51,1,2,"47900",50,30000,17000,5000,60,30000,17000,1,1,29,4,2,1,1,1,2,1,2,2,1,16,-1,4,-1,31,0,0,-1,-1,48,-1,0,7,-9,40,-1,3,"09:10 AM",2,2,-1,-1,-1,1,2,-1,2,2,-1,2,1,-1,7000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,5,3.39999999999998,11,1,2,4.57999999999993,-9,3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2526.5905372573,1,1,1,4,1,5,3,3,3,1,5,5,2,2,-9,2,2,5,0,1,1,1,1966.51968188447,0,0,"30010234_1",1,0,0,1,1,0,0,360,40,400,178,90,268,15,15,30,193,1,0,0,1,0,0,1,0,1,0,0,0,0,0,105,298,0
"25",30010429,2,1,2,1,11,2,"CA",6,2,2,201610,1,2,1,5,1,1,5,1,9,4,91,1,2,"41860",70,17000,7000,5000,40,7000,3000,2,1,56,4,2,1,2,1,1,-1,2,2,1,15,-1,4,-1,7,2,0,-1,-1,20,-1,0,0,-9,90,-1,5,"08:30 AM",1,1,4,-1,-1,5,2,-1,3,2,-1,2,2,2000,-77,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,26.8499999999995,6,1,2,40.0799999999999,-9,3,4,4,3,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,492.524573233166,1,1,1,1,1,-9,4,4,5,1,5,4,3,4,3,3,1,4,0,1,2,1,505.672002267752,0,0,"30010429_1",1,1,0,0,1,0,0,480,90,570,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"27",30010513,1,1,2,2,11,2,"NY",36,2,2,201607,1,2,1,5,1,4,6,2,2,1,21,1,2,"35620",20,750,300,350,20,750,300,2,1,52,4,2,1,1,1,1,-1,2,2,1,15,-1,4,-1,3,2,3,3,0,7,-1,0,0,-9,110,-1,10,"08:45 AM",1,1,5,-1,-1,2,2,-1,2,2,-1,4,1,-1,12000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,48.9099999999999,36,1,2,57.6799999999985,-9,4,1,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.4977536744496,1,1,1,1,5,3,1,4,5,2,5,4,4,4,4,3,1,4,0,1,2,1,18.7138623406196,0,0,"30010513_1",1,1,0,0,0,1,0,510,110,620,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"28",30010897,5,1,4,3,11,4,"NY",36,3,2,201608,1,8,1,5,1,1,5,1,2,1,21,3,2,"35620",30,1500,750,750,20,3000,750,2,3,24,5,2,3,2,3,1,-1,2,2,1,15,-1,4,-1,0,-1,0,-1,-1,20,-1,0,0,-9,90,-1,20,"09:00 AM",2,1,-1,-1,-1,0,2,-1,1,3,2,-1,1,-1,4000,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,7,19.2299999999996,36,1,2,23.6699999999992,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2012.11706602965,1,1,1,1,5,5,1,5,5,5,5,5,1,4,4,4,1,31,0,1,4,1,1462.15577592465,0,1,"30010897_3",2,0,0,1,0,1,0,370,90,460,5,75,80,70,5,75,75,0,0,0,1,1,0,0,1,1,0,0,0,0,1,80,155,1
"29",30010908,3,1,2,2,7,2,"GA",13,2,2,201605,1,2,1,5,1,1,5,1,5,3,51,2,2,"12060",20,7000,3000,3000,50,7000,3000,2,1,59,4,2,1,1,2,1,-1,1,2,1,11,-1,4,-1,4,4,0,-1,-1,20,-1,0,0,-9,60,-1,10,"07:00 AM",2,2,-1,-1,-1,2,2,-1,3,2,-1,4,1,-1,10000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,23.0499999999993,13,1,2,31.1699999999992,-9,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1783.76796644604,1,1,1,1,-9,-9,2,-9,2,2,-9,3,3,4,-9,2,1,5,0,1,2,1,1528.07337368047,0,0,"30010908_1",1,1,0,0,1,0,0,540,60,600,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"31",30011210,3,2,2,0,2,0,"CA",6,2,2,201610,1,2,2,5,2,1,4,1,9,4,92,6,2,"41740",70,7000,3000,5000,60,17000,7000,2,1,29,4,2,1,1,6,1,-1,2,2,1,11,-1,2,-1,14,0,0,-1,-1,20,-1,0,0,-9,90,-1,20,"07:50 AM",2,2,-1,-1,-1,0,2,-1,2,2,-1,7,2,1988,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,11.5699999999997,6,2,2,14.4399999999996,-9,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,796.181628937504,2,1,1,2,1,3,5,5,2,2,5,1,1,1,1,1,1,2,0,1,2,1,722.781776171785,0,0,"30011210_1",1,1,0,0,1,0,0,550,90,640,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
