,division,trip_per_hh
0,21,3120.373073053617
1,22,2633.274593197623
2,31,2952.0913454321044
3,32,2913.950657947727
4,51,2923.0914879328534
5,52,2760.3589143841023
6,62,2542.6006739985096
7,63,2311.250131974471
8,91,3478.999322820298
9,92,3104.9772235672767
