,division,trip_hh_mean
0,21,32.386515709852596
1,22,27.10563832062157
2,31,29.753828032979975
3,32,28.275516507653236
4,51,34.04975091767174
5,52,32.476851851851855
6,62,37.35346756152125
7,63,31.291016448755798
8,91,33.03473240469208
9,92,31.748765813020672
