binLeft,binRight,value
333.1898598064072,640.4773799375251,1755808.7654061425
640.4773799375251,947.7649000686431,4570991.048192361
947.7649000686431,1255.052420199761,6588765.70117089
1255.052420199761,1562.339940330879,8162420.80107021
1562.339940330879,1869.627460461997,9212491.75952752
1869.627460461997,2176.9149805931147,10018728.294026352
2176.9149805931147,2484.202500724233,10370016.825112171
2484.202500724233,2791.490020855351,10287042.491559612
2791.490020855351,3098.777540986469,10519629.442884598
3098.777540986469,3406.065061117587,10822142.093304379
3406.065061117587,3713.3525812487046,11028686.761305904
3713.3525812487046,4020.6401013798227,10714933.752102667
4020.6401013798227,4327.92762151094,10714038.00240399
4327.92762151094,4635.215141642058,10642637.954800177
4635.215141642058,4942.502661773176,9925664.407406246
4942.502661773176,5249.7901819042945,9348616.718105778
5249.7901819042945,5557.077702035413,8792409.518620925
5557.077702035413,5864.365222166531,8052798.340015454
5864.365222166531,6171.652742297649,6886110.095289674
6171.652742297649,6478.940262428767,6377628.640210631
6478.940262428767,6786.227782559884,5095534.643509645
6786.227782559884,7093.515302691002,4687880.677660576
7093.515302691002,7400.80282282212,4009758.0597602264
7400.80282282212,7708.090342953238,3214830.93568445
7708.090342953238,8015.377863084356,2658250.072720479
8015.377863084356,8322.665383215473,2436690.606028898
8322.665383215473,8629.952903346591,1858809.9743076777
8629.952903346591,8937.24042347771,1653055.2194709487
8937.24042347771,9244.527943608828,1255608.5769790548
9244.527943608828,9551.815463739946,1156059.0151162436
9551.815463739946,9859.102983871064,953576.6111602844
9859.102983871064,10166.390504002182,854256.5342260315
10166.390504002182,10473.6780241333,683391.2847157799
10473.6780241333,10780.965544264418,522721.4445581971
10780.965544264418,11088.253064395536,451372.5190921348
11088.253064395536,11395.540584526654,417075.7307736805
11395.540584526654,11702.828104657772,370052.2866923953
11702.828104657772,12010.11562478889,316205.60693183594
12010.11562478889,12317.403144920008,270952.50069292204
12317.403144920008,12624.690665051126,216130.1761186503
12624.690665051126,12931.978185182243,147636.5680045558
12931.978185182243,13239.26570531336,159665.2867394336
13239.26570531336,13546.553225444479,92647.85094812234
13546.553225444479,13853.840745575597,114491.17118254819
13853.840745575597,14161.128265706715,76898.18047703165
14161.128265706715,14468.415785837833,126959.4306188366
14468.415785837833,14775.703305968951,106148.82266090595
14775.703305968951,15082.99082610007,73678.54113064331
15082.99082610007,15390.278346231187,58195.32276586167
15390.278346231187,15697.565866362305,50579.07243314253
15697.565866362305,16004.853386493423,69237.78121168107
16004.853386493423,16312.140906624541,39231.17643720233
16312.140906624541,16619.428426755658,35982.8260259458
16619.428426755658,16926.715946886776,47331.63220949149
16926.715946886776,17234.003467017894,38032.49102520964
17234.003467017894,17541.290987149012,19557.315128255534
17541.290987149012,17848.57850728013,76018.00759309775
17848.57850728013,18155.866027411248,35313.61773078569
18155.866027411248,18463.153547542366,21940.977361942638
18463.153547542366,18770.441067673484,9063.665068307382
18770.441067673484,19077.728587804602,10286.532420660236
19077.728587804602,19385.01610793572,12870.27860983142
19385.01610793572,19692.30362806684,17838.243080069187
19692.30362806684,19999.591148197956,17497.405060595578
19999.591148197956,20306.878668329075,28002.347784109435
20306.878668329075,20614.166188460193,42801.13164575701
20614.166188460193,20921.45370859131,8805.503507604612
20921.45370859131,21228.74122872243,12969.29004650322
21228.74122872243,21536.028748853547,14563.309463827773
21536.028748853547,21843.316268984665,10845.720573454755
21843.316268984665,22150.603789115783,19326.487236728524
22150.603789115783,22457.8913092469,15997.236877883957
22457.8913092469,22765.17882937802,27027.175998840823
22765.17882937802,23072.466349509137,3781.7607772210813
23072.466349509137,23379.753869640255,14109.371330354012
23379.753869640255,23687.041389771373,4891.918898802272
23687.041389771373,23994.32890990249,13157.551156582342
23994.32890990249,24301.61643003361,18584.491829126866
24301.61643003361,24608.903950164728,14245.93456916296
24608.903950164728,24916.191470295846,9830.985920387753
24916.191470295846,25223.47899042696,26644.85346970202
25223.47899042696,25530.766510558078,10336.008977035543
25530.766510558078,25838.054030689196,11695.01776763147
25838.054030689196,26145.341550820314,20416.536660867823
26145.341550820314,26452.629070951432,4437.119887209758
26452.629070951432,26759.91659108255,14207.235590709497
26759.91659108255,27067.20411121367,12543.795259519902
27067.20411121367,27374.491631344787,9165.880791834286
27374.491631344787,27681.779151475905,36586.13580027646
27681.779151475905,27989.066671607023,9281.4563412499
27989.066671607023,28296.35419173814,8657.86702961893
28296.35419173814,28603.64171186926,6901.326740758453
28603.64171186926,28910.929232000377,7539.477288935481
28910.929232000377,29218.216752131495,3518.7492778764013
29218.216752131495,29525.504272262613,4448.004160544258
29525.504272262613,29832.79179239373,7062.307591909221
29832.79179239373,30140.07931252485,9171.07556106118
30140.07931252485,30447.366832655967,11484.854058326573
30447.366832655967,30754.654352787085,5440.140805617728
30754.654352787085,31061.941872918203,3264.173756064751
31061.941872918203,31369.22939304932,3223.0988724961876
31369.22939304932,31676.51691318044,10612.827693230049
31676.51691318044,31983.804433311558,7701.69444001057
31983.804433311558,32291.091953442676,14933.309279337984
32291.091953442676,32598.379473573794,4429.821002234152
32598.379473573794,32905.666993704916,6257.998203230443
32905.666993704916,33212.954513836026,2334.289549946631
33212.954513836026,33520.242033967144,357.8352653937437
33520.242033967144,33827.52955409826,6000.274883210806
33827.52955409826,34134.81707422938,2518.9931229640288
34134.81707422938,34442.1045943605,3784.211586472021
34442.1045943605,34749.39211449162,2442.581227638306
34749.39211449162,35056.679634622735,1153.7093632357123
35056.679634622735,35363.96715475385,1915.2076413751486
35363.96715475385,35671.25467488497,2593.752258607053
