incomeCategoryMidpoint,allHouseholds,vehicleOwningHouseholds
5000.0,25.924807665684284,72.27257396342658
12500.0,19.248333628959113,28.480412475541993
20000.0,19.17078464171545,22.016975676164655
32000.0,15.200380613732683,16.042556331763567
42500.0,14.288923015821506,14.848687089088623
62500.0,11.950344863363155,12.2449977906728
87500.0,9.999359303493275,10.187848244310443
112500.0,8.95340147573568,9.060413723375909
137500.0,7.8646548314708715,7.960334761813012
175000.0,6.359356796090472,6.426410950408693
225000.0,5.307947386150924,5.422613469701163
