vehicleAge,regfee,annualDepreciation,insuranceCostDiscounted,maintenanceTireCost,fuelCost
0.0,153.90996467977735,3713.9914735541,1232.2695160933074,1054.86738913374,1376.7139819251856
1.0,143.999983164802,3151.3247001692944,1264.7311675666465,1150.5125001124798,1477.3759738650713
2.0,130.89677630957053,2657.2137638559957,1226.330208113403,1169.4821033828027,1503.2570202149077
3.0,122.32617370186554,2245.709382458644,1225.091390337652,1017.5069199704815,1321.6243439590257
4.0,116.13447245494277,1910.1544835952602,1172.6765802694033,1062.453020624688,1383.9461722460665
5.0,103.17574468981425,1736.401239653555,1104.6466379598917,1079.0590144494815,1447.3542575871763
6.0,104.03089360839255,1688.3423522618482,1046.7468835324503,1011.5984707774888,1417.1621305298113
7.0,96.1740578791936,1388.8817977227725,890.6755480050717,1016.9890443061806,1425.547873949113
8.0,88.6405701307509,1138.5752422253263,806.8395375287748,958.3062897142279,1359.749066231288
9.0,89.70340276810533,1142.9233855527305,771.5028396525549,996.5763016782302,1472.0166552106248
10.0,81.63927865905082,1002.0987315999477,683.9744510864965,984.6212097789834,1498.4117806867596
11.0,86.03262506910441,883.4067847049537,653.1742746378279,870.5365700270017,1373.0422782896405
12.0,85.8805360431127,728.9211621131718,655.9758507313269,855.30040076586,1361.5918307650074
13.0,79.77644719114711,665.8781827276645,620.8207633527588,857.520414221304,1397.92409951183
14.0,83.19476862572334,631.7159451178748,608.9041238536674,798.2508563809711,1318.0629305446498
15.0,78.44745819004942,0.0,576.439620300477,807.854851141168,1362.0400977754946
16.0,72.86575811587585,0.0,563.2642660703189,739.7248869362211,1261.5236803980197
17.0,71.72299253605678,0.0,556.0403305691992,721.0617243211402,1214.679350366448
18.0,69.86458751771124,0.0,533.9837363807164,722.4281479777841,1251.8443080443396
19.0,70.39542179181895,0.0,520.5225320499204,736.7802081084749,1270.5865772570478
20.0,68.38464780318581,0.0,523.1444458416709,701.3262196272559,1222.7571806480066
21.0,69.99643185664242,0.0,507.0987692167637,759.5953724146202,1288.4822173799682
22.0,65.50137513540952,0.0,514.3734805531649,631.4295026967499,1110.4139166192233
23.0,69.03976280654359,0.0,474.8414394148164,625.7340785578525,1156.0953819413073
24.0,69.72379903417979,0.0,486.2324481368629,699.7293873632358,1275.7783544656797
25.0,66.52786530679464,0.0,494.4148605121874,564.8145947231005,1034.1170794071145
26.0,71.74650038263795,0.0,507.0298969945443,595.2751155223963,1059.6483192947978
27.0,65.41478521835296,0.0,480.3366282041024,530.2813182666547,996.147482354663
28.0,64.53584957542726,0.0,501.6950992946928,536.1811222025856,1026.5640969390129
29.0,58.73614611624961,0.0,474.9422186572126,526.5312266102225,993.4100643802917
30.0,76.09258773266322,0.0,455.81333248356157,546.9012686939549,1050.2605837126678
