binLeft,binRight,value
100.0,647.404145018085,3308380.4543736926
647.404145018085,1194.80829003617,1861308.09114393
1194.80829003617,1742.2124350542551,1470444.3177673027
1742.2124350542551,2289.61658007234,1154183.6656817554
2289.61658007234,2837.020725090425,957087.8417422632
2837.020725090425,3384.4248701085103,430347.36689420464
3384.4248701085103,3931.8290151265956,223719.95117298007
3931.8290151265956,4479.23316014468,153857.27572516113
4479.23316014468,5026.637305162765,84244.32670067398
5026.637305162765,5574.04145018085,80225.84011731762
5574.04145018085,6121.445595198936,40728.168788331335
6121.445595198936,6668.849740217021,25674.573261818678
6668.849740217021,7216.253885235105,29155.86082085086
7216.253885235105,7763.658030253191,7412.302033523707
7763.658030253191,8311.062175271276,9297.212070183188
8311.062175271276,8858.46632028936,6688.459542224013
8858.46632028936,9405.870465307446,3008.267652054603
9405.870465307446,9953.27461032553,6874.457692495982
9953.27461032553,10500.678755343615,9600.67642620931
10500.678755343615,11048.0829003617,694.451905518141
