density,costByDensityAllHouseholds,costByDensityVehicleOwningHouseholds
0–99 persons/sq. mi.,8784.344640101303,9134.531043513813
100–499 persons/sq. mi.,8454.337767542924,8788.54270077627
500–999 persons/sq. mi.,7781.769401026839,8022.98148970211
"1,000–1,999 persons/sq. mi.",7372.305911026291,7749.003100187227
"2,000–3,999 persons/sq. mi.",6854.05943810353,7299.51709463091
"4,000–9,999 persons/sq. mi.",6209.993769926352,6774.067025832929
"10,000–24,999 persons/sq. mi.",5055.123097545242,6050.39474597717
"> 25,000 persons/sq. mi.",2262.0260794860574,5031.442939765054
