houseid,personid,Age_U18,Age_1924,Age_2545,Age_4665,Age_U65,Age_U24,Male,White,Black,Asian,AmIndian,Hawai,Mulrace,Other_race,Work_hm,worker,Home_own,Home_rent,Home_other,hhsize,hhvehcnt,Veh_0,Veh_1,Veh_2,Veh_3,Veh_4,hhfaminc,Low_inc,Hg_inc,Medium_inc,Income_low,drvrcnt,Driver_nw,DRV_0,DRV_1,DRV_2,DRV_3,DRV_4,Veh_acces,Veh_avl,numadlt,Urban_big,Rural_Big,wtperfin,BKSH,RDSH,NOSH,Sanjose,Newyork,Atlanta,Chicago,VMT_wt,Ln_VMT
30424008,02,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,2,0,0,1,0,0,10,0,1,0,0,2,2,0,0,1,0,0,1,1,2,1,0,1931.30797993328,0,0,1,0,1,0,0,7979778.31148836,8.32671042234158
30424068,01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,04,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1149.19697011381,0,0,1,0,0,1,0,10204547.319459,9.0916379137804
30424184,01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,1,0,0,09,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,309.05368666738,0,1,0,0,0,1,0,201754290.623949,13.389047658686
30424184,02,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,1,0,0,09,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,408.67389279911,0,1,0,0,0,1,0,5712460.02050186,9.54531434390208
30424222,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,08,0,0,1,0,3,3,0,0,0,1,0,1,1,3,1,0,1644.3697366161,0,0,1,0,1,0,0,19356887.4570962,9.37353135059835
30424222,02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,08,0,0,1,0,3,3,0,0,0,1,0,1,1,3,1,0,1396.91458223716,0,0,1,0,1,0,0,29140818.578289,9.94567717143168
30424222,03,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,08,0,0,1,0,3,3,0,0,0,1,0,1,1,3,1,0,2572.74867001475,0,0,1,0,1,0,0,5137560.41038248,7.59985941576099
30424756,01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,1,09,0,0,1,0,2,2,0,0,1,0,0,2,1,2,1,0,3371.8738983971,0,0,1,0,1,0,0,77685159.1043639,10.0449942762425
30424756,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,1,09,0,0,1,0,2,2,0,0,1,0,0,2,1,2,1,0,3686.10504124968,0,0,1,0,1,0,0,75668235.2730968,9.92959209471389
30424894,01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,4,0,0,0,0,1,07,0,0,1,1,2,2,0,0,1,0,0,2,1,2,1,0,252.19903370578,0,0,1,1,0,0,0,6551202.80323215,10.1649791286296
